pool_address,token_address,symbol,network,t0_timestamp,t0_date,t0_price_usd,t0_liquidity_usd,t0_mcap_usd,t0_volume_usd_15m,t0_top10_holder_pct,t0_dev_wallet_pct,t0_lp_locked_days,t0_is_token_2022,t0_has_malicious_extensions,liq_mcap_ratio,status,tfinal_timestamp,tfinal_date,tfinal_24h_price_usd,tfinal_24h_vol_usd,roi_24h,outcome_label,outcome_reason,raw_symbol,age_hours,t0_has_rtl_scam,t0_buy_sell_ratio,t0_holder_count_exact,t0_holder_count_floor,t0_holder_count_capped,t0_avg_tx_size,t0_single_wallet_vol_pct,pool_slot,creator_funding_slot,pool_time,t0_ratio_window,drop_reason
DXzk43PiJu23hgNPzE4XqAi92x4w7vV6hxfbgYevojwT,ARFaLs44pdoSdqEsHBWAphkr9tfiuAUasMMXYmhVpump,bread,solana,1786057707,2026-08-06T23:08:27.099843+00:00,2.3438303201705664e-06,2421.9503,2939.613441,12094.3168883482,100.0,99.47,365,True,False,0.8239,RESOLVED,1786506255.0,2026-08-12T03:44:26.879122+00:00,2.036653699e-06,0.0,0.8689,Flat / mediocre,Survived but 24.0h ROI only 0.87x,,,,,,,,,,,,,,
DCmgPy66hQi9jsZtXMmKCDb97K6WuagWZMTUjzVA3jNk,249ArxmX6GmjNN8GMNfb71afj5N6XeA4BJesHPhUpump,MITCH,solana,1786057708,2026-08-06T23:08:28.708124+00:00,3.7733518869503466e-07,302.9092,754.6703774,35.0034171998,100.0,50.48,365,True,False,0.4014,RESOLVED,1786931553.0,2026-08-17T01:52:40.056673+00:00,0.0,0.0,0.0,Rug / dead,24.0h ROI plummeted to 0.00x,,,,,,,,,,,,,,
8icUphNfmmYPpnMinfvrsDcfBfAog4D67WZLvMzV3pWB,8Q2oCa3ifjJMU13VbVhwrPdSDZiNyAiAE9FBE2C3pump,$NTE,solana,1786057710,2026-08-06T23:08:30.150847+00:00,7.093239537028046e-07,557.3015,1418.6479074,30.4525937182,100.0,50.37,365,True,False,0.3928,RESOLVED,1786931553.0,2026-08-17T01:52:53.164523+00:00,7.093239537e-07,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
DjK8drR8RNLWY6Bussbq8p4KyL4zqp5A5hj3azjwFFNW,AMXGNbZXdxAxFcXAgtfp8jRFoDn5AGSUfXCVa7J1UHLU,Telegram,solana,1786057711,2026-08-06T23:08:31.530105+00:00,3.294839404412052e-05,0.0,32948.39404,3616.8568836841,93.69,59.09,365,True,False,0.0,RESOLVED,1786931553.0,2026-08-17T01:53:06.066905+00:00,0.0,0.0,0.0,Rug / dead,24.0h ROI plummeted to 0.00x,,,,,,,,,,,,,,
7nqyte3fSkpnJ5oBwdzJfA7M4x13rCmBstNJdUPJgjqQ,6AHpzxAto9CtA6rsn61BAzuteqKo2modPkbrtXWEpump,TUNG,solana,1786057712,2026-08-06T23:08:32.924795+00:00,1.3028568326951532e-07,107.1772,260.5713666,67.8368508993,100.0,51.31,365,True,False,0.4113,RESOLVED,1786931553.0,2026-08-17T01:53:13.823267+00:00,0.0,0.0,0.0,Rug / dead,24.0h ROI plummeted to 0.00x,,,,,,,,,,,,,,
75YbKxeLikfWJzTBB4wEcZiYUQw8NRfovkWEFqvjmiQH,ErFtUJBjrmZyBqBRLW1bioxryiTkWTLXnifBV6pUpump,Dolphin,solana,1786057714,2026-08-06T23:08:34.304676+00:00,2.1363508515842767e-06,1692.9325,2136.350852,965.3044703566,100.0,97.42,365,True,False,0.7924,RESOLVED,1786931553.0,2026-08-17T01:53:26.424440+00:00,2.082117567e-06,0.0,0.9746,Flat / mediocre,Survived but 24.0h ROI only 0.97x,,,,,,,,,,,,,,
FEiLsHHgAbxSh4iCqKKXo472K2jCoNp9XpVyfv8YsXuk,FDdEaAMSGTLmwXJSPJeWDYrUwMjf6CujPk4sNtcopump,CUTDUCK,solana,1786057715,2026-08-06T23:08:35.764125+00:00,2.054983411108398e-06,1628.74701908743,2053.633229,23.6824942497,100.0,100.0,365,True,False,0.7931,RESOLVED,1786931553.0,2026-08-17T01:53:39.734632+00:00,2.054983411e-06,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
8YxsKEgUPyGcksFVm6WCT5MbdwXxGJVuT8yoKDsZVA9c,5FdVU4mAGAXsu18rFg1i5aVFeFgBBPqC46taAXXpump,GOONK,solana,1786057717,2026-08-06T23:08:37.270471+00:00,2.031548395759724e-06,1611.2206,2031.548396,0.01453236704,100.0,100.0,365,True,False,0.7931,RESOLVED,1786931553.0,2026-08-17T01:53:53.123461+00:00,2.031548396e-06,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
52KDUJCzFzxffPHBTTUmy7y8DWhBvMXLrdoBXeA7Q2ke,HHjWhE1Ak2JbGbfQoLgnd3J74tktrqrCinFq38xopxgx,WIG,solana,1786057718,2026-08-06T23:08:38.663997+00:00,5.37378541139569e-10,0.6394,0.5147351275,87.4786007813,96.12,61.44,365,True,False,1.2422,RESOLVED,1786931553.0,2026-08-17T01:54:06.462259+00:00,0.0,0.0,0.0,Rug / dead,24.0h ROI plummeted to 0.00x,,,,,,,,,,,,,,
FtQBLGNtW1zhDTXbYmGZQvad4pezoZq9fjao2vYq6xUV,5Le8fae3BBXhRGeU1baE6VQ9jTAGnSnJuyiNYdPrpump,HIENA2,solana,1786057923,2026-08-06T23:12:03.444816+00:00,2.3965388958139678e-06,1734.3698,2396.538896,249.8222114187,100.0,100.0,365,True,False,0.7237,RESOLVED,1786931553.0,2026-08-17T01:54:14.424947+00:00,2.265018124e-06,0.0,0.9451,Flat / mediocre,Survived but 24.0h ROI only 0.95x,,,,,,,,,,,,,,
